Client ID,Town,State
336,Gustavo A. Madero,Ciudad de Mexico
343,Gustavo A. Madero,Ciudad de Mexico
347,Alvaro Obregon,Ciudad de Mexico
350,Alvaro Obregon,Ciudad de Mexico
351,Alvaro Obregon,Ciudad de Mexico
361,Miguel Hidalgo,Ciudad de Mexico
369,Ecatepec,Estado de Mexico
371,Ecatepec,Estado de Mexico
381,Ecatepec,Estado de Mexico
383,Tejupilco,Estado de Mexico
384,Naucalpan de Juarez,Estado de Mexico
385,Naucalpan de Juarez,Estado de Mexico
386,Naucalpan de Juarez,Estado de Mexico
387,Naucalpan de Juarez,Estado de Mexico
388,Cuautitlan Izcalli,Estado de Mexico
389,Coacalco de Berriozabal,Estado de Mexico
392,Coacalco de Berriozabal,Estado de Mexico
393,Coacalco de Berriozabal,Estado de Mexico
402,V. Carranza,Ciudad de Mexico
403,V. Carranza,Ciudad de Mexico
404,V. Carranza,Ciudad de Mexico
409,Iztapalapa,Ciudad de Mexico
420,Iztacalco,Ciudad de Mexico
421,Iztacalco,Ciudad de Mexico
425,V. Carranza,Ciudad de Mexico
427,V. Carranza,Ciudad de Mexico
429,V. Carranza,Ciudad de Mexico
434,Naucalpan de Juarez,Estado de Mexico
437,Toluca,Estado de Mexico
448,Toluca,Estado de Mexico
451,Toluca,Estado de Mexico
452,Naucalpan de Juarez,Estado de Mexico
453,Naucalpan de Juarez,Estado de Mexico
454,Naucalpan de Juarez,Estado de Mexico
457,Tenancingo,Estado de Mexico
475,Tenancingo,Estado de Mexico
478,Tenancingo,Estado de Mexico
483,Nicolas Romero,Estado de Mexico
485,Teoloyuca,Estado de Mexico
486,Teoloyuca,Estado de Mexico
492,Teoloyuca,Estado de Mexico
498,Ecatepec,Estado de Mexico
505,Ecatepec,Estado de Mexico
520,Ecatepec,Estado de Mexico
523,Oaxaca,Oaxaca
524,Oaxaca,Oaxaca
527,Oaxaca,Oaxaca
533,Mihualtepec Sn.francisco,Estado de Mexico
539,Culiacan,Sinaloa
549,Culiacan,Sinaloa
555,Culiacan,Sinaloa
563,Culiacan,Sinaloa
566,San Nicolas de Los Garza,Nuevo Leon
567,San Nicolas de Los Garza,Nuevo Leon
578,San Nicolas de Los Garza,Nuevo Leon
579,Cadereyta,Nuevo Leon
581,Monterrey,Nuevo Leon
584,Monterrey,Nuevo Leon
589,Lazaro Cardenas,Michoacan
590,Lazaro Cardenas,Michoacan
592,Lazaro Cardenas,Michoacan
594,Lazaro Cardenas,Michoacan
597,Lazaro Cardenas,Michoacan
598,Ciudad Sahagun,Hidalgo
602,Ciudad Sahagun,Hidalgo
605,Ciudad Sahagun,Hidalgo
608,Tulancingo,Hidalgo
612,Tulancingo,Hidalgo
614,Oaxaca,Oaxaca
616,Oaxaca,Oaxaca
619,Oaxaca,Oaxaca
621,Juchitan,Oaxaca
622,Juchitan,Oaxaca
623,Juchitan,Oaxaca
624,Lagos de Moreno,Jalisco
626,Lagos de Moreno,Jalisco
629,Lagos de Moreno,Jalisco
631,Puerto Vallarta,Jalisco
634,Puerto Vallarta,Jalisco
645,Puerto Vallarta,Jalisco
646,Leon,Guanajuato
647,Leon,Guanajuato
648,Leon,Guanajuato
653,Leon,Guanajuato
655,Leon,Guanajuato
658,Leon,Guanajuato
663,Salamanca,Guanajuato
664,Salamanca,Guanajuato
666,Salamanca,Guanajuato
669,Aguascalientes,Aguascalientes
672,Aguascalientes,Aguascalientes
673,Aguascalientes,Aguascalientes
674,Benito Juarez,Quintana Roo
675,Merida,Yucatan
678,Merida,Yucatan
679,Merida,Yucatan
682,Tlalpan,Ciudad de Mexico
689,Gustavo A. Madero,Ciudad de Mexico
690,Gustavo A. Madero,Ciudad de Mexico
691,Gustavo A. Madero,Ciudad de Mexico
692,Tultitlan,Estado de Mexico
693,Iguala,Guerrero
697,Taxco de Alarcon,Guerrero
698,Chilpancingo,Guerrero
700,Acapulco,Guerrero
711,Acapulco,Guerrero
712,Acapulco,Guerrero
717,Tierra Blanca,Veracruz
718,Cordoba,Veracruz
720,Cordoba,Veracruz
722,-,Veracruz
723,-,Veracruz
724,-,Veracruz
727,Libres,Puebla
729,Libres,Puebla
730,Libres,Puebla
732,Puebla,Puebla
735,Paraiso,Tabasco
739,Morelia,Michoacan
741,Morelia,Michoacan
