Client ID,Quarter,Category,Distributor,Month,Year,Min Monthly Sales,A,B,C
234,1,C2,D2,1,2018,"$23,000.00","$15,551.40","$2,812.18","$13,081.13"
266,1,C1,D2,1,2018,"$11,000.00","$4,559.52","$2,842.40","$3,936.70"
289,1,C5,D13,1,2018,"$115,000.00","$118,219.88","$4,098.35","$67,487.18"
291,1,C1,D13,1,2018,"$11,000.00","$3,720.25","$4,849.78","$8,051.37"
292,1,C3,D8,1,2018,"$41,000.00","$38,876.62","$5,423.12","$5,428.78"
299,1,C1,D8,1,2018,"$11,000.00","$4,719.72","$12,450.49","$9,937.90"
300,1,C1,D8,1,2018,"$11,000.00",$0.00,"$1,957.30","$1,426.49"
301,1,C4,D2,1,2018,"$59,000.00","$24,518.88",$0.00,"$58,133.68"
303,1,C4,D9,1,2018,"$59,000.00","$143,873.57","$43,267.75","$20,671.05"
306,1,C3,D10,1,2018,"$41,000.00","$13,136.73",$822.68,"$63,447.89"
317,1,C4,D2,1,2018,"$59,000.00","$132,265.00","$39,037.00","$29,374.00"
323,1,C4,D3,1,2018,"$59,000.00","$66,007.01","$4,664.85","$19,983.35"
328,1,C4,D3,1,2018,"$59,000.00","$56,381.48","$18,825.03","$50,812.36"
329,1,C2,D2,1,2018,"$23,000.00","$68,573.33",$0.00,"$117,765.01"
330,1,C2,D3,1,2018,"$23,000.00","$2,001.30",$0.00,"$10,454.95"
335,1,C6,D5,1,2018,"$183,000.00","$250,833.79","$27,019.79","$82,614.24"
336,1,C2,D16,1,2018,"$23,000.00",$0.00,$0.00,"$25,911.81"
343,1,C6,D16,1,2018,"$183,000.00",$0.00,$0.00,"$3,102.24"
